county,diabetes,obesity
48001,2,34.64285714
48003,2,34.18367347
48005,3,36.28735632
48007,2,33.69565217
48009,3,37.36363636
48011,2,36
48013,3,33.79452055
48015,0,37.9
48017,0,20.25
48019,7,35.45454545
48021,28,34.9009434
48023,3,36.88888889
48025,0,30.94594595
48027,30,32.63326653
48029,189,33.20404091
48031,0,42.875
48033,0,33
48035,0,37.92307692
48037,3,36.24666667
48039,38,34.896
48041,8,28.73937677
48043,0,29.57142857
48045,0,42
48047,0,29.84615385
48049,0,38.16923077
48051,4,38
48053,4,34.32989691
48055,4,34.89705882
48057,2,31.08571429
48059,0,41.69230769
48061,4,30.86101296
48063,1,34.47826087
48065,0,27.16666667
48067,0,34.27272727
48069,2,42.11111111
48071,1,31.42424242
48073,3,32.75555556
48075,0,70
48077,1,42.64285714
48079,0,#DIV/0!
48081,0,36.5
48083,8,35.92857143
48085,20,34.24296675
48087,0,16
48089,0,29.5
48091,16,35.86601307
48093,1,42.4
48095,0,41
48097,6,34.03092784
48099,9,33.01724138
48103,2,28.875
48105,0,28.42105263
48107,1,49.6
48109,1,28.18181818
48111,1,30.63636364
48113,241,33.31073074
48115,4,29.85
48117,0,28.44444444
48119,0,29.5
48121,13,33.47272727
48123,1,37.88888889
48125,0,48
48127,0,44.6
48129,1,38.66666667
48131,0,30.5
48133,0,36.32142857
48135,50,31.29305556
48137,2,22.83333333
48139,13,32.55454545
48141,87,32.38348083
48143,3,29.91752577
48145,9,45.76190476
48147,16,34.32142857
48149,3,33.70454545
48151,0,35
48153,0,23.5
48155,0,43
48157,25,33.8296146
48159,0,25.78947368
48161,0,38.05
48163,0,31.93333333
48165,3,30.46153846
48167,31,32.56241033
48169,0,44
48171,6,41.25333333
48173,0,39
48177,8,30.88888889
48179,12,24.18181818
48181,18,34.86877828
48183,4,34.8630137
48185,8,36.84
48187,7,33.35087719
48189,2,32.54545455
48191,0,24
48193,0,39.05882353
48195,0,20.5
48197,0,27.5
48199,3,39.79411765
48201,338,33.08862705
48203,2,36.4488189
48205,0,29.91666667
48207,0,39
48209,33,31.27216495
48211,3,45
48213,3,37.575
48215,50,29.30952381
48217,4,36.15217391
48219,3,34.69565217
48221,17,39.43421053
48223,5,36.34545455
48225,0,39.80645161
48227,3,34.92156863
48229,10,40.4
48231,25,36.65116279
48233,3,30.03571429
48235,0,41.5
48237,0,43.57142857
48239,3,28.30434783
48241,15,34.29347826
48243,2,30.28571429
48245,33,34.14905149
48247,0,39.75
48249,1,31.4516129
48251,50,31.85714286
48253,6,37.56
48255,1,33
48257,34,35.47
48259,4,33.875
48261,0,36.42857143
48263,7,33.89108911
48265,1,35
48267,0,26.66666667
48269,0,55.5
48271,0,36.65517241
48273,0,26
48275,4,33.63636364
48277,13,35.63793103
48279,0,33.94444444
48281,0,31.0625
48285,6,32.07407407
48287,2,42.52941176
48289,2,36.17948718
48291,2,35.30985915
48293,7,33.55
48297,2,27.41269841
48299,4,37.125
48301,8,33.72727273
48303,64,31.90664273
48305,0,23.75
48307,4,37.03333333
48309,22,31.15367483
48311,0,48
48313,0,34.22222222
48315,8,30
48317,1,42
48319,2,34.97260274
48321,3,31.59558824
48325,7,32.39130435
48327,0,33.4
48329,19,33.07352941
48331,7,33.17948718
48333,0,25.57142857
48335,0,26.33333333
48337,14,37.375
48339,35,34.06344086
48341,3,28.96296296
48343,0,31.64705882
48345,0,16
48347,13,29.25688073
48349,4,35.66666667
48351,5,36.34782609
48353,2,36.02325581
48355,47,32.72230428
48357,0,37.3
48361,19,37.97435897
48363,1,33.49019608
48365,2,31.80487805
48367,4,35.32298137
48369,1,38
48371,2,29.58333333
48373,6,37.73846154
48375,35,32.75724638
48377,2,36.125
48379,0,40
48381,0,32.08163265
48383,0,35.13333333
48385,0,38.88888889
48387,0,33.71428571
48389,12,34.50666667
48391,0,38.28571429
48393,1,21
48395,0,40.68181818
48397,0,33.45669291
48399,0,26
48401,3,31.82894737
48403,20,30.27272727
48405,1,39.86363636
48407,9,39.53968254
48409,1,34.55284553
48411,0,46.14285714
48413,1,35
48415,0,29.81481481
48417,0,27
48419,1,36.4137931
48421,0,30.8
48423,86,32.455
48425,0,36.1
48427,1,29.71698113
48429,1,37.375
48431,0,42
48433,0,33.33333333
48435,0,32
48437,0,27
48439,135,33.87808791
48441,7,37.53888889
48445,0,33.16666667
48449,6,32.37195122
48451,3,35.56862745
48453,65,32.72718351
48455,1,38.11111111
48457,2,29.13793103
48459,1,34.21666667
48461,2,55
48463,0,33.26829268
48465,2,34.34146341
48467,14,34.12389381
48469,33,36.32142857
48471,6,34.16814159
48473,16,38.81012658
48475,5,36.03846154
48477,0,38.16
48479,0,31.453125
48481,0,34.72857143
48483,0,20.375
48485,17,35.43037975
48487,0,44.63157895
48489,7,33.375
48491,19,35.14991763
48493,5,37.72972973
48495,3,34.92307692
48497,6,33.21686747
48499,3,40.55737705
48501,0,21.1
48503,0,36.25
48505,0,36.47619048
48507,10,37.73913043
